User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
2,2332741,0.01,11.57,100.00,0.00
2,2189189,0.01,10.86,100.00,0.00
2,2118526,0.00,10.59,100.00,0.00
3,2278796,0.00,11.39,0.00,100.00
2,2480009,0.00,12.37,0.00,100.00
3,2532972,0.02,12.39,0.00,100.00
3,2185528,0.07,10.16,0.00,100.00
2,2434646,0.00,12.17,0.00,100.00
2,2610835,0.00,13.05,0.00,100.00
2,2351459,0.01,11.61,0.00,100.00
2,2281622,0.00,11.41,0.00,100.00
2,2467586,0.00,12.34,0.00,100.00
3,2187380,0.08,10.01,0.00,100.00
3,2244904,0.05,10.65,0.00,100.00
3,2412695,0.03,11.68,0.00,100.00
3,2390821,0.00,11.95,0.00,0.00
3,2385885,0.00,11.93,0.00,24.82
2,2389558,0.00,11.95,0.00,0.00
3,2492288,0.00,12.46,0.00,0.00
3,2338053,0.00,11.69,0.00,9.47
2,2596776,0.00,12.98,0.00,9.47
3,2402861,0.01,11.93,0.00,90.39
3,2397443,0.11,10.68,0.00,90.39
2,2241455,0.00,11.21,0.00,90.39
2,2474411,0.00,12.37,55.51,0.00
2,2253526,0.00,11.27,55.51,0.00
2,2204310,0.05,10.42,100.00,0.00
3,2439437,0.00,12.20,0.00,100.00
3,2424906,0.01,11.96,0.00,0.00
2,2505651,0.04,12.08,0.00,0.00
3,2367910,0.04,11.39,0.00,0.00
3,2346951,0.00,11.73,0.00,38.11
2,2289999,0.02,11.23,0.00,100.00
2,2556125,0.03,12.35,0.00,100.00
2,2518672,0.00,12.59,0.00,100.00
2,2183576,0.01,10.85,5.53,59.53
3,2546031,0.04,12.19,0.00,0.00
3,2331321,0.05,11.05,0.00,100.00
2,2244411,0.00,11.22,0.00,100.00
2,2338770,0.02,11.43,0.00,100.00
2,2378799,0.00,11.89,0.00,100.00
3,2110112,0.00,10.55,0.00,100.00
2,2287645,0.06,10.76,0.00,100.00
2,2185112,0.00,10.93,0.00,100.00
2,2361511,0.06,11.16,0.00,45.34
2,2361431,0.00,11.81,0.00,45.34
3,2212620,0.02,10.82,0.00,100.00
3,2603914,0.00,13.02,0.00,100.00
3,2603901,0.01,12.90,0.00,100.00
3,2178590,0.00,10.89,0.00,100.00
2,2189728,0.09,9.93,74.97,100.00
3,2344429,0.00,11.72,74.97,100.00
3,2238749,0.00,11.19,74.97,100.00
2,2173551,0.06,10.19,100.00,100.00
3,2297373,0.07,10.64,5.25,100.00
3,2443254,0.00,12.22,0.00,100.00
3,2108491,0.01,10.42,0.00,100.00
3,2206637,0.00,11.03,0.00,100.00
2,2367840,0.00,11.84,0.00,100.00
2,2419529,0.03,11.73,0.00,100.00
3,2452526,0.00,12.26,0.00,0.00
2,2202748,0.00,11.01,0.00,0.00
3,2596027,0.00,12.98,0.00,0.00
3,2104167,0.00,10.49,0.00,0.00
2,2137033,0.00,10.69,0.00,35.09
3,2131231,0.04,10.22,0.00,35.09
2,2182701,0.16,9.13,0.00,100.00
3,2620587,0.00,13.10,8.71,100.00
3,2135150,0.00,10.68,8.71,100.00
2,2553779,0.03,12.42,8.71,100.00
2,2282280,0.00,11.41,8.71,100.00
3,2332960,0.00,11.66,8.71,100.00
3,2608805,0.00,13.04,0.00,100.00
2,2433950,0.00,12.17,0.00,100.00
2,2514267,0.00,12.57,0.00,37.33
3,2449103,0.00,12.25,0.00,37.33
3,2171740,0.00,10.85,100.00,100.00
3,2139421,0.09,9.78,43.76,100.00
2,2352376,0.00,11.76,43.76,100.00
3,2345607,0.01,11.64,0.00,100.00
3,2603657,0.00,13.02,0.00,100.00
2,2567137,0.04,12.38,0.00,100.00
2,2369474,0.00,11.85,0.00,100.00
3,2479507,0.00,12.40,0.00,100.00
2,2185361,0.00,10.93,0.00,100.00
2,2466895,0.00,12.33,100.00,76.55
3,2590466,0.00,12.95,100.00,76.55
2,2275445,0.03,10.98,0.00,100.00
2,2338824,0.02,11.46,0.00,0.00
3,2307363,0.01,11.37,0.00,0.00
3,2289544,0.00,11.45,0.00,0.00
