User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
3,2387303,0.99,2.23,100.00,100.00
2,2264751,1.00,2.12,0.00,100.00
3,2431637,1.00,2.28,100.00,100.00
2,2098805,0.96,2.27,100.00,100.00
3,2171319,0.91,2.31,0.00,100.00
3,2114138,0.95,1.89,0.00,100.00
3,2472874,0.99,2.83,100.00,0.00
2,2450001,0.92,2.13,0.00,100.00
3,2284675,1.00,2.14,0.00,100.00
3,2383716,1.00,2.23,0.00,0.00
2,2573894,0.98,3.17,0.00,100.00
3,2461549,1.00,2.83,100.00,100.00
3,2421939,1.00,2.83,0.00,100.00
3,2463568,0.98,2.28,0.00,100.00
2,2298331,1.00,2.75,100.00,100.00
2,2233975,0.92,1.93,0.00,100.00
2,2159576,0.98,2.55,0.00,100.00
3,2394312,1.00,2.24,100.00,0.00
3,2157013,1.00,2.62,0.00,100.00
2,2295488,1.00,2.16,0.00,0.00
2,2236131,1.00,2.12,0.00,100.00
3,2348633,1.00,2.20,0.00,100.00
2,2355070,1.00,2.22,0.00,100.00
3,2428135,1.00,2.27,0.00,100.00
2,2498468,1.00,2.35,0.00,100.00
3,2369371,0.97,2.61,0.00,0.00
2,2435973,0.97,2.25,100.00,0.00
2,2433134,1.00,2.30,0.00,100.00
2,2522923,0.98,2.33,100.00,100.00
2,2117973,1.00,1.98,0.00,100.00
3,2540874,0.92,2.19,0.00,100.00
3,2292035,0.97,2.53,100.00,100.00
2,2298800,0.97,2.52,0.00,100.00
3,2602063,0.97,2.89,0.00,0.00
2,2173259,1.00,2.78,0.00,100.00
2,2269444,1.00,2.14,0.00,100.00
2,2480961,1.00,2.85,0.00,100.00
2,2581161,0.97,2.91,100.00,0.00
3,2240129,0.97,2.47,0.00,100.00
2,2241073,1.00,2.62,0.00,100.00
3,2555928,1.00,2.42,0.00,100.00
3,2222434,1.00,2.78,0.00,100.00
3,2146798,0.97,2.60,100.00,100.00
2,2286052,0.97,2.10,0.00,100.00
3,2352396,0.87,1.93,0.00,100.00
3,2098069,0.92,2.41,0.00,100.00
3,2397568,1.00,2.27,0.00,100.00
2,2125184,1.00,2.51,0.00,100.00
2,2544443,0.90,2.72,0.00,100.00
2,2168952,0.96,1.97,0.00,100.00
