User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
0,2617926,0.00,13.09,0.00,0.00
0,2122069,0.04,10.19,0.00,0.00
0,2246653,0.02,11.02,0.00,0.00
0,2209858,0.05,10.54,0.00,0.00
0,2278659,0.02,11.15,0.00,0.00
0,2489872,0.03,12.09,0.00,0.00
0,2369427,0.00,11.85,0.00,0.00
0,2410333,0.00,12.05,0.00,0.00
0,2531491,0.00,12.66,0.00,0.00
0,2260094,0.00,11.30,0.00,0.00
0,2350556,0.02,11.48,0.00,0.00
0,2400659,0.04,11.54,0.00,0.00
0,2326823,0.05,11.08,0.00,0.00
0,2456832,0.00,12.28,0.00,0.00
0,2609370,0.00,13.05,0.00,0.00
0,2190282,0.01,10.84,0.00,0.00
0,2287617,0.00,11.44,0.00,0.00
0,2355870,0.05,11.22,0.00,0.00
0,2379019,0.13,10.41,0.00,0.00
0,2234622,0.00,11.17,0.00,0.00
0,2516402,0.01,12.44,0.00,0.00
0,2612491,0.00,13.06,0.00,0.00
0,370191,0.00,1.85,0.00,0.00
0,2160151,0.00,10.80,0.00,0.00
0,2222631,0.00,11.06,0.00,0.00
0,2521946,0.06,11.87,0.00,0.00
0,2466356,0.00,12.33,0.00,0.00
0,2123436,0.01,10.51,0.00,0.00
0,2289402,0.08,10.57,0.00,0.00
0,2439855,0.00,12.20,0.00,0.00
0,2258061,0.02,11.02,0.00,0.00
0,2234745,0.00,11.17,0.00,0.00
0,2356329,0.02,11.53,0.00,0.00
0,2143174,0.09,9.76,0.00,0.00
0,2163533,0.00,10.82,0.00,0.00
0,2266332,0.00,11.33,0.00,0.00
0,2353365,0.03,11.47,0.00,0.00
0,2201354,0.00,11.01,0.00,0.00
0,2457248,0.09,11.17,0.00,0.00
0,2509427,0.00,12.55,0.00,0.00
0,2327433,0.00,11.59,0.00,0.00
0,2550004,0.09,11.55,0.00,0.00
0,2535606,0.00,12.68,0.00,0.00
0,2150788,0.00,10.75,0.00,0.00
0,2567515,0.12,11.27,0.00,0.00
0,2434943,0.00,12.16,0.00,0.00
0,2226176,0.00,11.13,0.00,0.00
0,2234907,0.05,10.57,0.00,0.00
0,2249503,0.05,10.63,0.00,0.00
0,2111292,0.02,10.38,0.00,0.00
0,2458222,0.00,12.29,0.00,0.00
0,2309763,0.00,11.55,0.00,0.00
0,2278509,0.00,11.39,0.00,0.00
0,2134398,0.00,10.67,0.00,0.00
0,2530666,0.02,12.36,0.00,0.00
0,2555493,0.00,12.76,0.00,0.00
0,2267572,0.08,10.40,0.00,0.00
0,2452076,0.06,11.48,0.00,0.00
0,2567895,0.00,12.82,0.00,0.00
0,2143537,0.00,10.72,0.00,0.00
0,2242028,0.00,11.21,0.00,0.00
0,2108034,0.08,9.72,0.00,0.00
0,2197573,0.00,10.99,0.00,0.00
0,2467379,0.00,12.34,0.00,0.00
0,2324462,0.03,11.30,0.00,0.00
0,2130478,0.04,10.25,0.00,0.00
0,2504437,0.04,12.03,0.00,0.00
0,2556309,0.00,12.78,0.00,0.00
0,73257,0.00,0.37,0.00,0.00
0,2147537,0.02,10.56,0.00,0.00
0,2597272,0.05,12.28,0.00,0.00
0,2551146,0.01,12.59,0.00,0.00
0,2211726,0.00,11.06,0.00,0.00
0,2416970,0.10,10.90,0.00,0.00
0,2124068,0.03,10.34,0.00,0.00
0,2602878,0.00,13.01,0.00,0.00
0,2616891,0.02,12.77,0.00,0.00
0,2340873,0.01,11.63,0.00,0.00
0,2261464,0.02,11.08,0.00,0.00
0,2396914,0.00,11.98,0.00,0.00
0,2471672,0.08,11.35,0.00,0.00
0,2246155,0.03,10.93,0.00,0.00
0,2434335,0.00,12.17,0.00,0.00
0,2190964,0.10,9.87,0.00,0.00
0,2160881,0.00,10.80,0.00,0.00
0,2416064,0.00,12.08,0.00,0.00
0,2332219,0.01,11.53,3.50,21.36
0,2249245,0.01,11.18,3.50,21.36
0,2286256,0.03,11.13,3.50,21.36
0,2585475,0.02,12.64,3.50,21.36
0,2522230,0.00,12.61,3.50,21.36
0,2254082,0.03,10.98,3.50,21.36
0,2354874,0.00,11.77,3.50,21.36
0,2433524,0.01,11.99,3.50,21.36
0,2175263,0.00,10.88,3.50,21.36
0,2203681,0.01,10.87,3.50,21.36
0,2174085,0.00,10.87,3.50,21.36
0,2469413,0.00,12.35,3.50,21.36
0,2565152,0.08,11.84,3.50,21.36
0,2346169,0.00,11.73,3.50,21.36
0,2608241,0.02,12.72,3.50,21.36
0,2599278,0.00,13.00,3.50,21.36
0,2492823,0.00,12.46,3.50,21.36
0,2151670,0.00,10.76,3.50,21.36
0,2516620,0.00,12.58,3.50,21.36
0,2318494,0.00,11.59,3.50,21.36
0,2410482,0.00,12.05,3.50,21.36
0,2367328,0.00,11.82,3.50,21.36
0,2458640,0.00,12.29,3.50,21.36
0,2292534,0.00,11.46,3.50,21.36
0,2169236,0.08,9.93,3.50,21.36
0,2489171,0.06,11.68,3.50,21.36
0,2526259,0.00,12.63,3.50,21.36
0,317346,0.11,1.41,3.50,21.36
0,2147411,0.03,10.46,0.00,0.00
0,2513460,0.03,12.25,0.00,0.00
0,2355783,0.00,11.78,0.00,0.00
0,2448456,0.04,11.74,0.00,0.00
0,2573731,0.00,12.87,0.00,0.00
0,2433100,0.00,12.17,0.00,0.00
0,2551340,0.00,12.72,0.00,0.00
0,2533024,0.07,11.83,0.00,0.00
0,2610301,0.00,13.05,0.00,0.00
0,2228746,0.07,10.39,0.00,0.00
0,2107517,0.00,10.54,0.00,0.00
0,2361110,0.00,11.76,0.00,0.00
0,2254573,0.01,11.20,0.00,0.00
0,2100978,0.13,9.14,0.00,0.00
0,2199401,0.02,10.76,0.00,0.00
0,2244144,0.01,11.07,0.00,0.00
0,2433383,0.00,12.17,0.00,0.00
0,2491073,0.09,11.39,0.00,0.00
0,2578899,0.00,12.89,0.00,0.00
0,2416400,0.00,12.03,0.00,0.00
0,2243298,0.00,11.22,0.00,0.00
0,2608892,0.04,12.57,0.00,0.00
0,2117856,0.00,10.59,0.00,0.00
0,2102295,0.00,10.51,0.00,0.00
0,2587359,0.02,12.66,0.00,0.00
0,2605821,0.00,13.03,0.00,0.00
0,2428882,0.00,12.14,0.00,0.00
0,2422450,0.00,12.11,0.00,0.00
0,2427127,0.00,12.14,0.00,0.00
0,2512855,0.09,11.45,0.00,0.00
0,2323253,0.00,11.62,0.00,0.00
0,2529879,0.06,11.94,0.00,0.00
0,2569501,0.01,12.77,0.00,0.00
0,2594215,0.00,12.97,0.00,0.00
0,2536671,0.00,12.68,0.00,0.00
0,2098457,0.00,10.49,0.00,0.00
0,2523133,0.03,12.28,0.00,0.00
0,2380936,0.02,11.66,0.00,0.00
0,2208833,0.00,11.04,0.00,0.00
0,2521990,0.00,12.61,0.00,0.00
0,2275734,0.06,10.72,0.00,0.00
0,2315375,0.00,11.58,0.00,0.00
0,2129944,0.00,10.65,0.00,0.00
0,2114021,0.00,10.57,0.00,0.00
0,95993,0.00,0.48,0.00,0.00
0,2396639,0.06,11.24,0.00,0.00
0,2305920,0.05,10.90,0.00,0.00
